timestamp,open,high,low,close,volume
1740505500000,2422.7,2423.76,2413.28,2421.19,6216.7431
1740506400000,2421.2,2435.9,2415.8,2427.1,6296.0397
1740507300000,2427.11,2429.99,2405.4,2406.27,5480.1584
1740508200000,2406.27,2423.29,2404.04,2421.78,4769.9614
1740509100000,2421.79,2428.1,2415.72,2424.35,5194.2173
1740510000000,2424.35,2435.19,2418.0,2419.51,6698.8888
1740510900000,2419.5,2423.9,2411.78,2421.92,4627.5558
1740511800000,2421.91,2450.66,2421.51,2444.19,9561.9374
1740512700000,2444.19,2473.59,2441.05,2471.91,15071.258
1740513600000,2471.9,2473.3,2457.59,2470.59,7667.4631
1740514500000,2470.59,2508.23,2464.3,2501.24,15947.1357
1740515400000,2501.23,2516.87,2493.1,2496.0,11518.9935
1740516300000,2496.0,2501.7,2486.86,2493.37,7627.3864
1740517200000,2493.36,2500.2,2481.65,2486.3,4508.8978
1740518100000,2486.3,2496.3,2483.66,2493.01,3992.5778
1740519000000,2493.0,2496.0,2485.64,2495.43,3061.8079
1740519900000,2495.44,2514.91,2495.44,2513.83,7205.0094
1740520800000,2513.78,2533.49,2510.56,2518.19,8194.6188
1740521700000,2518.2,2520.2,2504.31,2507.0,4627.2288
1740522600000,2506.99,2515.1,2502.53,2505.73,3709.6563
1740523500000,2505.73,2511.76,2499.09,2510.95,2898.1018
1740524400000,2510.92,2522.24,2504.2,2514.19,3897.4941
1740525300000,2514.2,2517.0,2506.61,2508.48,3013.0577
1740526200000,2508.49,2508.7,2494.17,2497.55,3091.7349
1740527100000,2497.5,2501.91,2494.68,2495.7,2658.0086
1740528000000,2495.69,2499.67,2484.15,2487.61,4266.6965
1740528900000,2487.66,2491.5,2480.57,2484.21,3418.0208
1740529800000,2484.21,2486.0,2472.37,2472.61,4887.5151
1740530700000,2472.6,2480.05,2471.8,2475.1,2641.277
1740531600000,2475.1,2484.3,2475.0,2479.26,3760.6843
1740532500000,2479.26,2486.05,2476.02,2482.82,3198.604
1740533400000,2482.81,2489.3,2480.0,2480.8,4655.8517
1740534300000,2480.8,2492.06,2480.33,2486.34,3071.0117
1740535200000,2486.34,2488.34,2476.85,2483.29,3176.8786
1740536100000,2483.3,2491.66,2483.3,2488.2,3734.0771
1740537000000,2488.21,2495.62,2482.63,2488.2,3393.2433
1740537900000,2488.16,2504.68,2486.99,2498.51,5394.0432
1740538800000,2498.5,2504.49,2496.8,2499.6,4814.8116
1740539700000,2499.6,2507.5,2496.47,2498.31,6176.5415
1740540600000,2498.31,2499.59,2492.22,2493.87,2710.2039
1740541500000,2493.86,2497.9,2488.4,2490.6,3670.0126
1740542400000,2490.61,2494.9,2487.41,2490.62,3199.5743
1740543300000,2490.62,2498.89,2486.8,2498.31,3052.6135
1740544200000,2498.31,2501.5,2494.61,2498.7,2861.6166
1740545100000,2498.71,2499.31,2489.0,2489.7,3678.2799
1740546000000,2489.73,2494.45,2486.53,2493.2,2680.7682
1740546900000,2493.2,2495.6,2484.4,2488.11,2961.288
1740547800000,2488.1,2488.89,2481.8,2487.59,4094.5203
1740548700000,2487.59,2488.59,2475.37,2475.48,3288.5533
1740549600000,2475.49,2483.9,2475.2,2481.05,3529.372
1740550500000,2481.06,2494.45,2480.56,2492.49,5928.0509
1740551400000,2492.48,2494.45,2486.11,2491.49,2753.6756
1740552300000,2491.49,2501.66,2491.49,2500.89,4642.4681
1740553200000,2500.9,2506.4,2496.8,2503.39,4937.9402
1740554100000,2503.4,2504.2,2492.9,2497.75,5501.4173
1740555000000,2497.74,2497.75,2476.85,2482.37,7281.0088
1740555900000,2482.36,2487.09,2478.3,2483.81,3760.827
1740556800000,2483.81,2487.99,2457.77,2467.79,9721.0278
1740557700000,2467.8,2470.59,2462.38,2466.59,5109.1574
1740558600000,2466.6,2469.72,2460.87,2465.88,6131.1751
1740559500000,2465.88,2467.78,2463.54,2464.39,4152.3391
1740560400000,2464.39,2471.6,2463.0,2465.93,4971.7471
1740561300000,2465.94,2476.6,2465.93,2472.78,5313.7808
1740562200000,2472.77,2493.69,2472.0,2490.58,5868.9342
1740563100000,2490.59,2494.61,2486.3,2490.25,5263.9551
1740564000000,2490.25,2490.25,2478.61,2485.33,11890.0183
1740564900000,2485.34,2490.35,2478.88,2489.31,5572.793
1740565800000,2489.31,2494.99,2487.51,2491.51,5452.7099
1740566700000,2491.51,2495.79,2488.0,2494.02,5511.8224
1740567600000,2494.02,2496.25,2488.3,2490.64,3810.8332
1740568500000,2490.64,2490.73,2480.98,2481.97,3389.106
1740569400000,2481.97,2483.0,2467.77,2469.69,6449.2386
1740570300000,2469.68,2470.69,2463.14,2464.79,5157.6975
1740571200000,2464.8,2466.81,2456.66,2462.8,5220.9332
1740572100000,2462.8,2462.81,2448.23,2456.52,6261.2678
1740573000000,2456.52,2460.99,2444.58,2448.3,5269.964
1740573900000,2448.31,2448.56,2423.48,2433.11,13890.0778
1740574800000,2433.1,2437.01,2426.21,2430.53,5290.7085
1740575700000,2430.54,2437.78,2425.92,2435.7,5637.1009
1740576600000,2435.7,2440.4,2432.62,2436.42,5063.643
